_id,LineCode,StationCode,CompanyName,LineName,StationName,Note
388,e1f,20d,大阪市交通局,NULL,出入橋,NULL
389,e1f,20e,大阪市交通局,NULL,浄正橋,NULL
390,e1f,20f,大阪市交通局,NULL,福島西通,55系統
391,e1f,210,大阪市交通局,NULL,福島税務署前,NULL
392,e1f,211,大阪市交通局,NULL,福島郵便局前,NULL
393,e1f,212,大阪市交通局,NULL,地下鉄玉川,NULL
394,e1f,213,大阪市交通局,NULL,野田,NULL
395,e1f,214,大阪市交通局,NULL,野田六丁目,NULL
396,e1f,215,大阪市交通局,NULL,西九条,NULL
397,e1f,216,大阪市交通局,NULL,此花朝日橋,NULL
398,e1f,217,大阪市交通局,NULL,千鳥橋,NULL
399,e1f,218,大阪市交通局,NULL,四貫島二丁目,NULL
400,e1f,219,大阪市交通局,NULL,此花区役所,NULL
401,e1f,21a,大阪市交通局,NULL,春日出,NULL
402,e1f,21b,大阪市交通局,NULL,西春日出,NULL
403,e1f,21c,大阪市交通局,NULL,東島屋,NULL
404,e1f,21d,大阪市交通局,NULL,島屋,NULL
405,e1f,21e,大阪市交通局,NULL,西島屋,NULL
406,e1f,21f,大阪市交通局,NULL,三本松,NULL
407,e1f,220,大阪市交通局,NULL,島屋橋,NULL
408,e1f,221,大阪市交通局,NULL,北港一丁目,NULL
409,e1f,222,大阪市交通局,NULL,桜島二丁目,NULL
410,e1f,223,大阪市交通局,NULL,桜島梅町,NULL
411,e1f,224,大阪市交通局,NULL,桜島梅町二丁目,NULL
412,e1f,225,大阪市交通局,NULL,桜島三丁目,NULL
413,e1f,226,大阪市交通局,NULL,桜島駅前,NULL
414,e1f,227,大阪市交通局,NULL,北港大橋,NULL
415,e1f,228,大阪市交通局,NULL,酉島,NULL
416,e1f,229,大阪市交通局,NULL,酉島住宅前,NULL
417,e1f,22a,大阪市交通局,NULL,酉島車庫前,NULL
418,e1f,22b,大阪市交通局,NULL,此花総合高校前,NULL
419,e1f,22c,大阪市交通局,NULL,大淀中一丁目,NULL
420,e1f,22d,大阪市交通局,NULL,大淀南一丁目,NULL
421,e1f,22e,大阪市交通局,NULL,大淀中三丁目,NULL
422,e1f,22f,大阪市交通局,NULL,大淀中二丁目,NULL
423,e1f,230,大阪市交通局,NULL,福島六丁目,NULL
424,e1f,231,大阪市交通局,NULL,福島七丁目,NULL
425,e1f,232,大阪市交通局,NULL,福島八丁目,NULL
426,e1f,233,大阪市交通局,NULL,鷺洲,さぎす
427,e1f,234,大阪市交通局,NULL,桜島三丁目東,NULL
428,e1f,235,大阪市交通局,NULL,野田阪神前,NULL
429,e1f,236,大阪市交通局,NULL,福島区役所前,NULL
430,e1f,237,大阪市交通局,NULL,吉野,NULL
431,e1f,238,大阪市交通局,NULL,野田中学校前,NULL
432,e1f,239,大阪市交通局,NULL,北野高校前,NULL
433,e1f,23a,大阪市交通局,NULL,新北野三丁目,NULL
434,e1f,23b,大阪市交通局,NULL,塚本二丁目,NULL
435,e1f,23c,大阪市交通局,NULL,塚本駅前,NULL
436,e1f,23d,大阪市交通局,NULL,花川,NULL
437,e1f,23e,大阪市交通局,NULL,野里,NULL
438,e1f,23f,大阪市交通局,NULL,中海老江,NULL
439,e1f,240,大阪市交通局,NULL,姫島駅前,NULL
440,e1f,241,大阪市交通局,NULL,姫島,NULL
441,e1f,242,大阪市交通局,NULL,姫島五丁目,NULL
442,e1f,243,大阪市交通局,NULL,西淀中学校前,NULL
